OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
STARS-X,2026-132A,69502,PAY,+,JPN,2026-06-12,TANSC,,96.05,97.68,578,561,,,EA,ORB
CENTISPACE-1 GROUP 05 OBJECT C,2026-138C,69584,PAY,+,PRC,2026-06-17,JSC,,102.17,55.14,867,856,,,EA,ORB
KUIPER-00516,2026-140H,69599,PAY,+,US,2026-06-17,FRGUI,,94.24,51.88,487,477,,,EA,ORB
STARLINK-37851,2026-143K,69658,PAY,+,US,2026-06-21,AFWTR,,93.91,97.28,466,465,,,EA,ORB
STARLINK-37949,2026-143Y,69671,PAY,+,US,2026-06-21,AFWTR,,93.91,97.29,467,464,,,EA,ORB
ICEYE-X77,2026-156Z,69892,PAY,+,FIN,2026-07-07,AFWTR,,96.51,97.75,596,587,,,EA,ORB
POSIDONIA,2026-156BF,69922,PAY,+,SPN,2026-07-07,AFWTR,,96.52,97.74,596,587,,,EA,ORB
STARLINK-37610,2026-161B,100029,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,464,462,,,EA,ORB
STARLINK-37481,2026-161E,100032,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,464,462,,,EA,ORB
STARLINK-37917,2026-161G,100034,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,464,462,,,EA,ORB
STARLINK-38023,2026-161R,100043,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,464,462,,,EA,ORB
STARLINK-37808,2026-161T,100045,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,463,462,,,EA,ORB
STARLINK-37826,2026-161Y,100050,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,464,462,,,EA,ORB
STARLINK-37605,2026-161AD,100055,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,463,462,,,EA,ORB
